exp_id,exp_desc,n_pecas,n_tipos,sheet_label,sheet_W,sheet_L,fixed,metodo,n_colocadas,n_total,z,z_lb,gap_pct,area_chapa,area_pecas,utilizacao,refugo,tempo_ms,n_chapas,media_pecas_chapa,n_restricoes,n_vars_binarias
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1000x2000mm,1000.0,2000.0,True,sparrow,6,6,121.6,106.79,12.18,121600.0,60936.73,50.11,49.89,3000.29,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1500x3000mm,1500.0,3000.0,True,sparrow,6,6,106.79,106.79,0.0,160182.46,60936.73,38.04,61.96,3001.35,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1000xliv,1000.0,livre,False,sparrow,6,6,121.6,106.79,12.18,121600.0,60936.73,50.11,49.89,3001.17,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1500xliv,1500.0,livre,False,sparrow,6,6,106.79,106.79,0.0,160182.46,60936.73,38.04,61.96,3004.54,1,6.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1000x2000mm,1000.0,2000.0,True,sparrow,11,11,189.44,106.79,43.63,189438.04,102610.77,54.17,45.83,3002.72,1,11.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1500x3000mm,1500.0,3000.0,True,sparrow,11,11,137.9,106.79,22.56,206846.33,102610.77,49.61,50.39,3005.81,1,11.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1000xliv,1000.0,livre,False,sparrow,11,11,189.44,106.79,43.63,189438.04,102610.77,54.17,45.83,3004.14,1,11.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1500xliv,1500.0,livre,False,sparrow,11,11,136.9,106.79,21.99,205346.33,102610.77,49.97,50.03,3012.47,1,11.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1000x2000mm,1000.0,2000.0,True,sparrow,18,18,1832.18,939.83,48.7,1832182.69,939828.04,51.3,48.7,3149.28,1,18.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1500x3000mm,1500.0,3000.0,True,sparrow,18,18,1255.69,626.55,50.1,1883537.02,939828.04,49.9,50.1,3815.28,1,18.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1000xliv,1000.0,livre,False,sparrow,18,18,1832.18,939.83,48.7,1832182.69,939828.04,51.3,48.7,3030.76,1,18.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1500xliv,1500.0,livre,False,sparrow,18,18,1255.69,626.55,50.1,1883537.02,939828.04,49.9,50.1,4324.9,1,18.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1000x2000mm,1000.0,2000.0,True,sparrow,20,20,1044.57,661.39,36.68,1044574.44,661391.59,63.32,36.68,3011.92,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1500x3000mm,1500.0,3000.0,True,sparrow,20,20,704.14,440.93,37.38,1056209.95,661391.59,62.62,37.38,3016.8,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1000xliv,1000.0,livre,False,sparrow,20,20,1044.57,661.39,36.68,1044574.44,661391.59,63.32,36.68,3017.02,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1500xliv,1500.0,livre,False,sparrow,20,20,704.14,440.93,37.38,1056209.95,661391.59,62.62,37.38,3021.4,1,20.0,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1000x2000mm,1000.0,2000.0,True,sparrow,40,40,26746.62,8164.23,69.48,26746619.64,8164228.61,30.52,69.48,3589.53,22,1.8,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1500x3000mm,1500.0,3000.0,True,sparrow,40,40,17813.4,5442.82,69.45,26720105.53,8164228.61,30.55,69.45,5375.09,8,5.0,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1000xliv,1000.0,livre,False,sparrow,40,40,13534.32,8164.23,39.68,13534315.45,8164228.61,60.32,39.68,7641.64,1,40.0,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1500xliv,1500.0,livre,False,sparrow,40,40,8810.21,5442.82,38.22,13215318.75,8164228.61,61.78,38.22,5823.17,1,40.0,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1000x2000mm,1000.0,2000.0,True,sparrow,50,50,21865.21,6020.16,72.47,21865205.04,6020163.32,27.53,72.47,7280.08,17,2.9,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1500x3000mm,1500.0,3000.0,True,sparrow,50,50,12470.24,4013.44,67.82,18705358.18,6020163.32,32.18,67.82,5540.18,5,10.0,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1000xliv,1000.0,livre,False,sparrow,50,50,9870.51,6020.16,39.01,9870507.12,6020163.32,60.99,39.01,5976.86,1,50.0,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1500xliv,1500.0,livre,False,sparrow,50,50,6655.57,4013.44,39.7,9983348.86,6020163.32,60.3,39.7,5662.22,1,50.0,,
